dblp,journals/vldb/LometS97,Concurrency and Recovery for Index Trees,David B. Lomet, Betty Salzberg,VLDB J.,1997,,,,,,,
acm,336577,A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum,International Conference on Management of Data,2000,,,,
dblp,journals/sigmod/Cetintemel01,On the Academic Interview Circuit: An End-to-End Discussion,Ugur Çetintemel,SIGMOD Record,2001,,,,,,,,
acm,637433,An early look at XQuery,Andrew Eisenberg, Jim Melton,ACM SIGMOD Record,2002,,,,,,,
acm,671696,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,Surajit Chaudhuri, Gerhard Weikum,Very Large Data Bases,2000,,,,,,,
acm,335388,LOF: identifying density-based local outliers,Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246,rg Sander,International Conference on Management of Data,2000,,,,
acm,304230,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999,,,,,,,,
acm,872772,Rights protection for relational data,Radu Sion, Mikhail Atallah, Sunil Prabhakar,International Conference on Management of Data,2003,,,,,,
acm,604268,ADAM: a testbed for exploring the use of data mining in intrusion detection,Daniel Barbar&#225,, Julia Couto, Sushil Jajodia, Ningning Wu,ACM SIGMOD Record,2001,,,,
acm,672989,A Top-Down Approach for Two Level Serializability,M. Ouzzani, M. A. Atroun, N. L. Belkhodja,Very Large Data Bases,1994,,,,,,
acm,375670,Space-efficient online computation of quantile summaries,Michael Greenwald, Sanjeev Khanna,International Conference on Management of Data,2001,,,,,,,
acm,276354,Microsoft universal data access platform,Jos&#233, A. Blakeley, Michael J. Pizzo,International Conference on Management of Data,1998,,,,,,
dblp,journals/sigmod/Goethals02,Data Warehousing and Business Intelligence for E-Commerce - Book Review,Frank G. Goethals,SIGMOD Record,2002,,,,,,,,
dblp,conf/vldb/SchindlerAG03,Lachesis: Robust Database Storage Management Based on Device-specific Performance Characteristics,Anastassia Ailamaki, Jiri Schindler, Gregory R. Ganger,VLDB,2003,,,,,,
dblp,journals/tods/DattaVCK99,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer,ACM Trans. Database Syst.,1999,,,,,
dblp,conf/vldb/Taylor00,Concurrency in the Data Warehouse,Richard Taylor,VLDB,2000,,,,,,,,
dblp,conf/vldb/LabioYCGW00,Performance Issues in Incremental Warehouse Maintenance,Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang,VLDB,2000,,,,
acm,271082,Integrating dynamically-fetched external information into a DBMS for semistructured data,Jason McHugh, Jennifer Widom,ACM SIGMOD Record,1997,,,,,,,
dblp,journals/tods/Chomicki03,Preference formulas in relational queries,Jan Chomicki,ACM Trans. Database Syst.,2003,,,,,,,,
acm,381860,Advances in real-time database systems research,Azer Bestavros,ACM SIGMOD Record,1996,,,,,,,,
acm,671188,On Optimal Node Splitting for R-trees,Yv&#225,n J. Garc&#237,a, Mario A. Lopez, Scott T. Leutenegger,Very Large Data Bases,1998,,,,
dblp,journals/sigmod/GottlobKP03,XPath Processing in a Nutshell,Georg Gottlob, Christoph Koch, Reinhard Pichler,SIGMOD Record,2003,,,,,,
acm,673631,DWMS: Data Warehouse Management System,Narendra Mohan,Very Large Data Bases,1996,,,,,,,,
dblp,conf/vldb/SrinivasaK03,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,Srinath Srinivasa, Sujit Kumar,VLDB,2003,,,,,,,
acm,672005,Manipulating Interpolated Data is Easier than You Thought,St&#233,phane Grumbach, Philippe Rigaux, Luc Segoufin,Very Large Data Bases,2000,,,,,
acm,673464,Applying Data Mining Techniques to a Health Insurance Information System,Marisa S. Viveros, John P. Nearhos, Michael J. Rothman,Very Large Data Bases,1996,,,,,,
acm,375677,Filtering algorithms and implementation for very fast publish/subscribe systems,Fran&#231,oise Fabret, H. Arno Jacobsen, Fran&#231,ois Llirbat, Jo&#259,o Pereira, Kenneth A. Ross, Dennis Shasha,International Conference on Management of Data,2001
acm,223787,Efficient optimistic concurrency control using loosely synchronized clocks,Atul Adya, Robert Gruber, Barbara Liskov, Umesh Maheshwari,International Conference on Management of Data,1995,,,,,
acm,375739,Content integration for e-business,Michael Stonebraker, Joseph M. Hellerstein,International Conference on Management of Data,2001,,,,,,,
acm,673484,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang,Very Large Data Bases,1996,,,,,,
dblp,conf/vldb/IlyasAE02,Joining Ranked Inputs in Practice,Walid G. Aref, Ihab F. Ilyas, Ahmed K. Elmagarmid,VLDB,2002,,,,,,
acm,776989,An approach to confidence based page ranking for user oriented Web search,Debajyoti Mukhopadhyay, Debasis Giri, Sanasam Ranbir Singh,ACM SIGMOD Record,2003,,,,,,
dblp,conf/vldb/Meier95,Providing Database Migration Tools - A Practicioner's Approach,Andreas Meier,VLDB,1995,,,,,,,,
dblp,conf/vldb/DiaoLCT00,Toward Learning Based Web Query Processing,Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen,VLDB,2000,,,,,
dblp,conf/vldb/AbiteboulABBNM03,Schema-driven Customization of Web Services,Bernd Amann, Serge Abiteboul, Jérôme Baumgarten, Omar Benjelloun, Tova Milo, Frederic Dang Ngoc,VLDB,2003,,,
dblp,journals/sigmod/SchmidtWKFCMB01,Why And How To Benchmark XML Databases,Ralph Busse, Michael J. Carey, Daniela Florescu, Martin L. Kersten, Albrecht Schmidt, Florian Waas, Ioana Manolescu,SIGMOD Record,2001,,
acm,273253,Materialized views and data warehouses,Nick Roussopoulos,ACM SIGMOD Record,1998,,,,,,,,
dblp,conf/sigmod/ReveszCKLLW00,The MLPQ/GIS Constraint Database System,Yuguo Liu, Yiming Li, Pradip Kanjamala, Rui Chen, Yonghui Wang, Peter Z. Revesz,SIGMOD Conference,2000,,,
